iter	Logloss
0	0.6870925788
1	0.6809291262
2	0.674890576
3	0.6694342873
4	0.6635806922
5	0.6580001369
6	0.6527615171
7	0.6472796816
8	0.6424021865
9	0.6363502271
10	0.6318894011
11	0.6274681091
12	0.6229300065
13	0.6181653341
14	0.6143402909
15	0.6091543255
16	0.6066148931
17	0.6017949653
18	0.5969053326
19	0.5930057872
20	0.5900621125
21	0.586361336
22	0.5829320965
23	0.5787888729
24	0.5751475132
25	0.5729114648
26	0.5697709286
27	0.5677297188
28	0.5641400886
29	0.5608471379
30	0.5583535397
31	0.5546571558
32	0.5528145992
33	0.5491579807
34	0.546839165
35	0.5433341518
36	0.540390766
37	0.5391520876
38	0.5366930528
39	0.5341485919
40	0.5314120668
41	0.5290016406
42	0.5265938152
43	0.5238450368
44	0.521691987
45	0.5198896003
46	0.5175005595
47	0.5156148853
48	0.5132182728
49	0.5112170595
50	0.509275841
51	0.5068103328
52	0.5052825465
53	0.5024112355
54	0.5004431985
55	0.4988272696
56	0.4966223746
57	0.4944958542
58	0.4924794977
59	0.4909155875
60	0.4892841686
61	0.4873174032
62	0.4857504296
63	0.4839989344
64	0.4821390961
65	0.4807674524
66	0.4785359123
67	0.4767189026
68	0.4753002398
69	0.4736707572
70	0.4724219351
71	0.4711860021
72	0.4694551988
73	0.4684524536
74	0.4671495033
75	0.4660067125
76	0.4649218646
77	0.4639669476
78	0.4622601307
79	0.4609235128
80	0.4595605677
81	0.4581116185
82	0.4566411105
83	0.4553444602
84	0.4540061662
85	0.4528015021
86	0.4514806054
87	0.4501942143
88	0.4492494121
89	0.4478222529
90	0.4465269609
91	0.4457307295
92	0.4449327353
93	0.4440394604
94	0.4429375042
95	0.4419885982
96	0.440873175
97	0.4399929336
98	0.439302589
99	0.4384804928
100	0.4373614282
101	0.4364593968
102	0.4352861751
103	0.4341143695
104	0.4332235799
105	0.4321681514
106	0.4311605511
107	0.4305909186
108	0.4297807578
109	0.4289436629
110	0.4287674644
111	0.427812663
112	0.4265300866
113	0.4258112763
114	0.4253918619
115	0.4243595528
116	0.4238559261
117	0.4230543194
118	0.4225552299
119	0.4223898107
120	0.4218380957
121	0.4207615419
122	0.4200162888
123	0.4192926811
124	0.4184715387
125	0.4180110585
126	0.4173394116
127	0.4166085792
128	0.4161737326
129	0.4160256241
130	0.4154939074
131	0.4146670428
132	0.4138529228
133	0.4133449901
134	0.4132192785
135	0.4123177384
136	0.411541014
137	0.4107249578
138	0.4099028905
139	0.4093875596
140	0.408693776
141	0.4083799882
142	0.4081231609
143	0.4071025848
144	0.4065112779
145	0.4060442375
146	0.405458537
147	0.4050147895
148	0.4042536707
149	0.4038948579
150	0.4031866825
151	0.4023645574
152	0.4018003579
153	0.4010069587
154	0.400064873
155	0.3994084561
156	0.3988044045
157	0.3979100892
158	0.3970980211
159	0.3963177421
160	0.396111864
161	0.3953601953
162	0.3947957357
163	0.3943939787
164	0.393985835
165	0.3933339263
166	0.3926563552
167	0.392027248
168	0.3910992362
169	0.3904444088
170	0.3899695079
171	0.3896108107
172	0.3892208157
173	0.3886417042
174	0.3883751378
175	0.387710658
176	0.3867991476
177	0.3863180334
178	0.3856590444
179	0.3850360639
180	0.3845701796
181	0.3839636716
182	0.3831484824
183	0.3828460809
184	0.3823712089
185	0.3819600019
186	0.3815672903
187	0.3811829307
188	0.3807782838
189	0.3802727208
190	0.3799154686
191	0.3794894363
192	0.3789503213
193	0.3785160816
194	0.3779960979
195	0.3775075277
196	0.3770535787
197	0.3766479492
198	0.3762174953
199	0.3757093025
